Element	English	Norwegian Nynorsk
Flerovium	Flerovium is harmful due to its radioactivity	Flerovium er skadeleg på grunn av radioaktiviteten sin
Moscovium	Moscovium is harmful due to its radioactivity	Moscovium er skadeleg på grunn av radioaktiviteten sin
Livermorium	Livermorium is harmful due to its radioactivity	Livermorium er skadeleg på grunn av radioaktiviteten sin
Tennessine	Tennessine is harmful due to its radioactivity	Tennessine er skadeleg på grunn av radioaktiviteten sin
Oganesson	Oganesson is harmful due to its radioactivity	Oganesson er skadeleg på grunn av radioaktiviteten sin
		
Hydrogen	Vial of glowing ultrapure hydrogen	Ein ampulle med glødande ultrareint hydrogen
Helium	Vial of glowing ultrapure helium	Ein ampulle med glødande ultrareint helium
Lithium	0.5 grams lithium under argon	0,5 gram litium under argon
Beryllium	Pure beryllium bead, 2.5 grams	Ei rein berylliumkule, 2,5 gram
Boron	Pure crystalline boron, front side	Reint krystallinsk bor, framside
Carbon	Ultrapure carbon as graphite	Ultrareint karbon som grafitt
Nitrogen	Vial of glowing ultrapure nitrogen	Ein ampulle med glødande ultrareint nitrogen
Oxygen	Vial of glowing ultrapure oxygen	Ein ampulle med glødande ultrareint oksygen
Fluorine	Fluorine gas, but only as photomontage, because fluorine reacts even with glass	Fluorgass, men berre som fotomontasje, fordi fluor reagerer sjølv med glas
Neon	Vial of glowing ultrapure neon	Ein ampulle med glødande ultrareint neon
Sodium	Sodium metal from the Dennis s.k collection	Natriummetall frå Dennis s.k-samlinga
Magnesium	Magnesium swarf in a glass jar	Magnesiumspon i eit glasskrukke
Aluminium	Chunk of aluminum	Eit stykke aluminium
Silicon	Close up photo of a piece of purified silicon	Nærbiletet av eit stykke reinsa silisium
Phosphorus	Red phosphorus as powder	Raudt fosfor som pulver
Sulfur	A sample of sulfur	Ei prøve av svovel
Chlorine	Pure liquid chlorine under a pressure of 8 bars	Reint flytande klor under eit trykk på 8 bar
Argon	Vial of glowing ultrapure argon	Ein ampulle med glødande ultrareint argon
Potassium	Potassium pearls under paraffin oil	Kaliumperler under paraffinolje
Calcium	Pure calcium in a protective argon gas atmosphere	Reint kalsium i ei vernatmosfære av argongass
Scandium	Ultrapure crystalline scandium	Ultrareint krystallinsk skandium
Titanium	A titanium crystal bar made by the iodide process at URALREDMET in the Soviet era	Ei titaniumkrystallstong laga ved jodidprosessen ved URALREDMET i sovjettida
Vanadium	Vanadium crystals made by electrolysis	Vanadiumkrystallar laga ved elektrolyse
Chromium	High purity chromium crystals, produced by chemical transport reaction through decomposition of chromium iodides, as well as a high purity chromium cube for comparison	Høgrenleik kromkrystallar, produsert ved kjemisk transportreaksjon gjennom dekomposisjon av kromjodid, samt ei høgrenleik kromkube for samanlikning
Manganese	Small pieces of manganese	Små stykke av mangan
Iron	Pure iron chips, electrolytically refined, as well as a high purity iron cube for comparison	Reine jernflis, elektrolytisk raffinert, samt ei høgrenleik jernkube for samanlikning
Cobalt	Pure cobalt chips, electrolytically refined, as well as a high purity cobalt cube for comparison	Reine koboltflis, elektrolytisk raffinert, samt ei høgrenleik koboltkube for samanlikning
Nickel	A sheet of nickel	Eit nikkelblet
Copper	Macro of native copper	Makro av nativkoppar
Zinc	A sheet of zinc	Eit sinkblet
Gallium	Crystals of gallium	Krystallar av gallium
Germanium	Ultrapure chunk of polycrystalline germanium	Eit ultrareint stykke av polykrystallinsk germanium
Arsenic	Ultrapure metallic arsenic under argon	Ultrareint metallisk arsen under argon
Selenium	Ultrapure black, amorphous selenium	Ultrareint svart, amorf selen
Bromine	Pure liquid bromine	Reint flytande brom
Krypton	Vial of glowing ultrapure krypton	Ein ampulle med glødande ultrareint krypton
Rubidium	Rubidium metal sample from the Dennis s.k collection	Ei rubidiummetallprøve frå Dennis s.k-samlinga
Strontium	The chemical element strontium as a synthetic made crystals, sealed under argon in a glas ampoule	Det kjemiske grunnstoffet strontium som syntetisk laga krystallar, forsegla under argon i ei glasampulle
Yttrium	High purity yttrium	Høgrenleik yttrium
Zirconium	Two samples of crystal bar showing different surface textures as well as a highly pure zirconium cube for comparison	To prøvar av krystallstong som viser ulike overflatestrukturar, samt ei svært rein zirkoniumkube for samanlikning
Niobium	Ultrapure niobium bead, slightly oxidized	Ultrareint niobiumkule, litt oksidert
Molybdenum	Molybdenum with rough, oxidized surface	Molybden med grov, oksidert overflate
Technetium	Emilio Segrè, one of the discoverer of the element	Emilio Segrè, ein av oppdagarane av grunnstoffet
Ruthenium	Gas phase grown crystals of ruthenium metal	Gassfase-dyrka krystallar av rutheniummetall
Rhodium	Rhodium powder	Rhodiumpulver
Palladium	Palladium crystal	Palladiumkrystall
Silver	A pure silver crystal, synthetic electrolytic made with visible dendritic structures	Ein rein sølvkrystall, syntetisk elektrolytisk laga med synlege dendritiske strukturar
Cadmium	A crystal cadmium bar made by the flux process	Ei krystallinsk kadmiumstong laga ved flussprosessen
Indium	Ingot of 40 grams of indium	Ingot på 40 gram indium
Tin	Droplet of solidified molten tin	Ei dråpe av størkna smelta tinn
Antimony	Ultrapure metallic antimony piece	Eit stykke ultrareint metallisk antimon
Tellurium	Metallic tellurium	Metallisk tellur
Iodine	Pure crystalline iodine	Reint krystallinsk jod
Xenon	Vial of glowing ultrapure xenon	Ein ampulle med glødande ultrareint xenon
Caesium	Cesium metal sample from the Dennis s.k collection	Ei cesiummetallprøve frå Dennis s.k-samlinga
Barium	Barium with a grey oxide layer under argon	Barium med eit grått oksidlag under argon
Lanthanum	Pure lanthanum	Reint lantan
Cerium	Ultrapure cerium under argon	Ultrareint cerium under argon
Praseodymium	Ultrapure praseodymium pieces under argon	Ultrareint praseodymstykke under argon
Neodymium	Ultrapure neodymium under argon	Ultrareint neodym under argon
Promethium	Pitchblende, a uranium ore and the host for most of Earth's promethium	Beksblende, ei uransmalm og vertskap for det meste av jordas promethium
Samarium	Ultrapure sublimated samarium	Ultrareint sublimert samarium
Europium	Weakly oxidized europium, hence slightly yellowish	Svakt oksidert europium, difor litt gulaktig
Gadolinium	Ultrapure amorphous gadolinium	Ultrareint amorf gadolinium
Terbium	Pure terbium	Reint terbium
Dysprosium	Ultrapure dysprosium dendrites	Ultrareint dysprosiumdendrittane
Holmium	Ultrapure holmium	Ultrareint holmium
Erbium	Ultrapure erbium with cut traces	Ultrareint erbium med skjeresporar
Thulium	Ultrapure crystalline thulium	Ultrareint krystallinsk thulium
Ytterbium	Ultrapure ytterbium	Ultrareint ytterbium
Lutetium	Ultrapure piece of lutetium	Eit ultrareint stykke av lutetium
Hafnium	Electrolytic hafnium	Elektrolytisk hafnium
Tantalum	Tantalum pieces	Tantalstykke
Tungsten	Tungsten rod with oxidized surface	Ei wolframstong med oksidert overflate
Rhenium	A high purity rhenium single crystal made by the floating zone process, an ebeam remelted rhenium bar and as well as a high purity rhenium cube for comparison	Ein høgrenleik rhenium-enkrystall laga ved flytsone-prosessen, ei elektronstraale-omsmelta rheniumstong, samt ei høgrenleik rheniumkube for samanlikning
Osmium	Osmium crystals produced by chemical transport reaction in chlorine gas	Osmiumkrystallar produsert ved kjemisk transportreaksjon i klorongass
Iridium	Pieces of pure iridium	Stykke av reint iridium
Platinum	A native platinum nugget	Ei naturleg platinaklubb
Gold	Synthetic made gold crystals by the chemical transport reaction in chlorine gas	Syntetisk laga gullkrystallar ved den kjemiske transportreaksjonen i klorongass
Mercury	Element mercury in liquid form	Grunnstoffet kvikksølv i flytande form
Thallium	Pure thallium under argon	Reint thallium under argon
Lead	Ultrapure lead bead	Ei ultrarein blykule
Bismuth	Bismuth crystal with fancy oxide film	Vismoutkrystall med dekorativt oksidfilm
Polonium	Pierre and Marie Curie in the laboratory	Pierre og Marie Curie i laboratoriet
Astatine	Emilio Segrè, one of the discoverer of the element	Emilio Segrè, ein av oppdagarane av grunnstoffet
Radon	Illustration of radon	Illustrasjon av radon
Francium	Illustration of francium	Illustrasjon av francium
Radium	Pierre and Marie Curie in the laboratory	Pierre og Marie Curie i laboratoriet
Actinium	Illustration of actinium	Illustrasjon av aktinium
Thorium	The Earth's thorium originated in the death throes of ancient stars	Jordas thorium oppstod i dødskampane til gamle stjerner
Protactinium	Illustration of protactinium	Illustrasjon av protaktinium
Uranium	A billet of highly enriched uranium	Eit billette av høgt anrika uran
Neptunium	Edwin McMillan, one of the discoverer of the element	Edwin McMillan, ein av oppdagarane av grunnstoffet
Plutonium	A ring of weapons-grade 99.96% pure electrorefined plutonium, enough for one bomb core	Ein ring av våpengrad 99,96 % reint elektroraffinert plutonium, nok til eitt bombekjerne
Americium	A small disc of Am-241 under the microscope	Ei lita skive av Am-241 under mikroskopet
Curium	Illustration of curium	Illustrasjon av curium
Berkelium	The 60-inch cyclotron at the Lawrence Radiation Laboratory, University of California, Berkeley	60-tommars syklotronen ved Lawrence Radiation Laboratory, University of California, Berkeley
Californium	Illustration of californium	Illustrasjon av californium
Einsteinium	Einsteinium was first observed in the fallout from the Ivy Mike nuclear test	Einsteinium vart fyrst observert i nedfall frå Ivy Mike-kjerneforsøket
Fermium	Fermium was first observed in the fallout from the Ivy Mike nuclear test	Fermium vart fyrst observert i nedfall frå Ivy Mike-kjerneforsøket
Mendelevium	The element is named to honor Dmitri Mendeleev, the developer of the periodic table of elements	Grunnstoffet er oppkalla til ære for Dmitrij Mendeleev, utviklaren av periodesystemet
Nobelium	Illustration of nobelium	Illustrasjon av nobelium
Lawrencium	Illustration of lawrencium	Illustrasjon av lawrencium
Rutherfordium	The element is named after Ernest Rutherford who became known as the father of nuclear physics	Grunnstoffet er oppkalla etter Ernest Rutherford som vart kjend som faren til kjernefysikken
Dubnium	The element is named after after the Russian town of Dubna, the location of the Joint Institute for Nuclear Research	Grunnstoffet er oppkalla etter den russiske byen Dubna, plasseringa av Joint Institute for Nuclear Research
Seaborgium	The element is named after Glenn T. Seaborg, atomic pioneer and Commissioner of the Atomic Energy Commission	Grunnstoffet er oppkalla etter Glenn T. Seaborg, atompioneer og kommissær for Atomic Energy Commission
Bohrium	The element is named after Niels Bohr, a Danish nuclear physicist	Grunnstoffet er oppkalla etter Niels Bohr, ein dansk kjernefysikar
Hassium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Grunnstoffet vart oppdaga ved Institute for Heavy Ion Research i Darmstadt, Tyskland
Meitnerium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Grunnstoffet vart oppdaga ved Institute for Heavy Ion Research i Darmstadt, Tyskland
Darmstadtium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Grunnstoffet vart oppdaga ved Institute for Heavy Ion Research i Darmstadt, Tyskland
Roentgenium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Grunnstoffet vart oppdaga ved Institute for Heavy Ion Research i Darmstadt, Tyskland
Copernicium	The element was discovered at the Institute for Heavy Ion Research in Darmstadt, Germany	Grunnstoffet vart oppdaga ved Institute for Heavy Ion Research i Darmstadt, Tyskland
Nihonium	The element was discovered at the Joint Institute for Nuclear Research in Dubna, Russia	Grunnstoffet vart oppdaga ved Joint Institute for Nuclear Research i Dubna, Russland
